Abbrev	corrected	Genus	Spec	Family	Order	Class	Phylum	Name	hymenia	morf	Lifestyle	originalTrait	Clade	dataset	0
Densp1	ballistospory	Dentipellis	sp.	Hericiaceae	Russulales	Agaricomycetes	Basidiomycota	Dentipellis sp. KUC8613 v1.0	hydnoid	Resupinate		ballistospory	0	JGI202304	96
Stehi1	ballistospory	Stereum	hirsutum	Stereaceae	Russulales	Agaricomycetes	Basidiomycota	Stereum hirsutum FP-91666 SS1 v1.0	smooth	Resupinate		ballistospory	0	JGI202304	97
Sisni1	ballistospory	Sistotremastrum	niveocremeum	Hydnodontaceae	Trechisporales	Agaricomycetes	Basidiomycota	Sistotremastrum niveocremeum HHB9708 ss-1 1.0	smooth	Resupinate		ballistospory	0	JGI202304	98
Aurde3_1	ballistospory	Auricularia	subglabra	Auriculariaceae	Auriculariales	Agaricomycetes	Basidiomycota	Auricularia subglabra v2.0	smooth	Tremella-like	WoodDF	ballistospory	0	PL109	99
Exigl1	ballistospory	Exidia	glandulosa	Exidiaceae	Auriculariales	Agaricomycetes	Basidiomycota	Exidia glandulosa v1.0	smooth	Tremella-like	WoodDF	ballistospory	0	PL109	100
Rhiso1	ballistospory	Rhizoctonia	solani	Ceratobasidiaceae	Cantharellales	Agaricomycetes	Basidiomycota	Rhizoctonia solani AG-1 IB	no	woFrb		ballistospory	0	JGI202304	105
Crevar1	ballistospory	Crepidotus	variabilis	Crepidotaceae	Agaricales	Agaricomycetes	Basidiomycota	Crepidotus variabilis CBS 506.95 v1.0	lamellate	bracket		ballistospory	0	JGI202304	125
Fishe1	ballistospory	Fistulina	hepatica	Fistulinaceae	Agaricales	Agaricomycetes	Basidiomycota	Fistulina hepatica v1.0	poroid	bracket	WoodDF	ballistospory	0	PL109	126
Plicr1	ballistospory	Plicaturopsis	crispa	Amylocorticiaceae	Amylocorticiales	Agaricomycetes	Basidiomycota	Plicaturopsis crispa v1.0	lamellate	bracket		ballistospory	0	JGI202304	127
ClaPMI390	ballistospory	Sistotrema	sp.	Corticiaceae	Corticiales	Agaricomycetes	Basidiomycota	Sistotrema sp. PMI_390 v1.0	poroid	bracket		ballistospory	0	JGI202304	128
Glotr1_1	ballistospory	Gloeophyllum	trabeum	Gloeophyllaceae	Gloeophyllales	Agaricomycetes	Basidiomycota	Gloeophyllum trabeum v1.0	lamellate	bracket		ballistospory	0	JGI202304	129
Fomme1	ballistospory	Fomitiporia	mediterranea	Hymenochaetaceae	Hymenochaetales	Agaricomycetes	Basidiomycota	Fomitiporia mediterranea v1.0	poroid	bracket		ballistospory	0	JGI202304	130
Pheno1	ballistospory	Phellinus	noxius	Hymenochaetaceae	Hymenochaetales	Agaricomycetes	Basidiomycota	Phellinus noxius FFPRI411160	poroid	bracket		ballistospory	0	JGI202304	131
PosplRSB12_1	ballistospory	Postia	placenta	Dacryobolaceae	Polyporales	Agaricomycetes	Basidiomycota	Postia placenta MAD-698-R-SB12 v1.0	poroid	bracket	WoodDF	ballistospory	0	PL109	132
Daequ1	ballistospory	Daedalea	quercina	Fomitopsidaceae	Polyporales	Agaricomycetes	Basidiomycota	Daedalea quercina v1.0	poroid	bracket		ballistospory	0	JGI202304	133
Pipbet1_1	ballistospory	Fomitopsis	betulina	Fomitopsidaceae	Polyporales	Agaricomycetes	Basidiomycota	Fomitopsis betulina CIRM-BRFM 1772 v1.1	poroid	bracket		ballistospory	0	JGI202304	134
Fompi3	ballistospory	Fomitopsis	schrenkii	Fomitopsidaceae	Polyporales	Agaricomycetes	Basidiomycota	Fomitopsis schrenkii FP-58527 SS1 v3.0	poroid	bracket		ballistospory	0	JGI202304	135
Cytmel1	ballistospory	Cytidiella	melzeri	Irpicaceae	Polyporales	Agaricomycetes	Basidiomycota	Cytidiella melzeri FP 102339 v1.0	smooth	bracket		ballistospory	0	JGI202304	136
Trace1	ballistospory	Trametopsis	cervina	Irpicaceae	Polyporales	Agaricomycetes	Basidiomycota	Trametopsis cervina CIRM-BRFM 1824 v1.0	poroid	bracket		ballistospory	0	JGI202304	137
Laesu1	ballistospory	Laetiporus	sulphureus	Laetiporaceae	Polyporales	Agaricomycetes	Basidiomycota	Laetiporus sulphureus var. sulphureus v1.0	poroid	bracket		ballistospory	0	JGI202304	138
Wolco1	ballistospory	Wolfiporia	cocos	Laetiporaceae	Polyporales	Agaricomycetes	Basidiomycota	Wolfiporia cocos MD-104 SS10 v1.0	smooth	bracket		ballistospory	0	JGI202304	139
Rigmic1	ballistospory	Rigidoporus	microporus	Meripilaceae	Polyporales	Agaricomycetes	Basidiomycota	Rigidoporus microporus ED310 v1.0	poroid	bracket		ballistospory	0	JGI202304	140
Bjead1_1	ballistospory	Bjerkandera	adusta	Phanerochaetaceae	Polyporales	Agaricomycetes	Basidiomycota	Bjerkandera adusta v1.0	poroid	bracket		ballistospory	0	JGI202304	141
Abobie1	ballistospory	Abortiporus	biennis	Podoscyphaceae	Polyporales	Agaricomycetes	Basidiomycota	Abortiporus biennis ​CIRM-BRFM 1778 v1.0	poroid	bracket		ballistospory	0	JGI202304	142
Artele1122_1	ballistospory	Artolenzites	elegans	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Artolenzites elegans CIRM-BRFM 1122 v1.0	lamellate	bracket		ballistospory	0	JGI202304	143
Dicsqu18370_1	ballistospory	Dichomitus	squalens	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Dichomitus squalens OM18370.1 v1.0	poroid	bracket		ballistospory	0	JGI202304	144
Ganbon1	ballistospory	Ganoderma	boninense	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Ganoderma boninense G3 v1.0	poroid	bracket		ballistospory	0	JGI202304	145
Ganluc1	ballistospory	Ganoderma	lucidum	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Ganoderma lucidum G.260125-1 v1.0	poroid	bracket		ballistospory	0	JGI202304	146
Gansi1	ballistospory	Ganoderma	sinense	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Ganoderma sinense ZZ0214-1	poroid	bracket		ballistospory	0	JGI202304	147
Gansp1	ballistospory	Ganoderma	sp.	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Ganoderma sp. 10597 SS1 v1.0	poroid	bracket		ballistospory	0	JGI202304	148
Tramen1	ballistospory	Leiotrametes	menziesii	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Leiotrametes menziesii CIRM-BRFM 1781 v1.0	poroid	bracket		ballistospory	0	JGI202304	149
Leisp1	ballistospory	Leiotrametes	sp.	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Leiotrametes sp. CIRM-BRFM 1775 v1.0	poroid	bracket		ballistospory	0	JGI202304	150
Pycco1	ballistospory	Pycnoporus	coccineus	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Pycnoporus coccineus CIRM-BRFM 310 v1.0	poroid	bracket		ballistospory	0	JGI202304	151
Trabet1	ballistospory	Trametes	betulina	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Trametes betulina CIRM-BRFM 1801 v1.0	poroid	bracket		ballistospory	0	JGI202304	152
Tralj1	ballistospory	Trametes	ljubarskyi	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Trametes ljubarskyi CIRM-BRFM 1659 v1.0	poroid	bracket		ballistospory	0	JGI202304	153
Tramey1	ballistospory	Trametes	meyenii	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Trametes meyenii CIRM-BRFM 1810 v1.0	poroid	bracket		ballistospory	0	JGI202304	154
Trapol1	ballistospory	Trametes	polyzona	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Trametes polyzona CIRM-BRFM 1798 v1.0	poroid	bracket		ballistospory	0	JGI202304	155
Trapub1	ballistospory	Trametes	pubescens	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Trametes pubescens FBCC735	poroid	bracket		ballistospory	0	JGI202304	156
Trave1	ballistospory	Trametes	versicolor	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Trametes versicolor v1.0	poroid	bracket		ballistospory	0	JGI202304	157
Hetan2	ballistospory	Heterobasidion	annosum	Bondarzewiaceae	Russulales	Agaricomycetes	Basidiomycota	Heterobasidion annosum v2.0	poroid	bracket	WoodDF	ballistospory	0	PL109	158
Ptegra1	ballistospory	Pterula	gracilis	Pterulaceae	Agaricales	Agaricomycetes	Basidiomycota	Pterula gracilis CBS309.79 v1.0	smooth	Coralloid_Clavarioid		ballistospory	0	JGI202304	159
Ramac1	ballistospory	Ramaria	rubella	Gomphaceae	Gomphales	Agaricomycetes	Basidiomycota	Ramaria rubella (R. acris) UT-36052-T v1.0	smooth	Coralloid_Clavarioid		ballistospory	0	JGI202304	160
Hydfim1	ballistospory	Hydnopolyporus	fimbriatus	Ipricaceae	Polyporales	Agaricomycetes	Basidiomycota	Hydnopolyporus fimbriatus CBS384.51 v1.0	smooth	Coralloid_Clavarioid		ballistospory	0	JGI202304	161
Clapy1	ballistospory	Artomyces	pyxidatus	Auriscalpiaceae	Russulales	Agaricomycetes	Basidiomycota	Artomyces pyxidatus HHB10654 v1.0	smooth	Coralloid_Clavarioid		ballistospory	0	JGI202304	162
Sebve1	ballistospory	Sebacina	vermifera	Sebacinaceae	Sebacinales	Agaricomycetes	Basidiomycota	Sebacina vermifera MAFF 305830 v1.0	smooth	Coralloid_Clavarioid		ballistospory	0	JGI202304	163
Thega1	ballistospory	Thelephora	ganbajun	Thelephoraceae	Thelephorales	Agaricomycetes	Basidiomycota	Thelephora ganbajun P2 v1.0	smooth	Coralloid_Clavarioid		ballistospory	0	JGI202304	164
Auramp1	ballistospory	Auriculariopsis	ampla	Schizophyllaceae	Agaricales	Agaricomycetes	Basidiomycota	Auriculariopsis ampla NL-1724 v1.0	smooth	Cyphelloid		ballistospory	0	JGI202304	168
Schco3	ballistospory	Schizophyllum	commune	Schizophyllaceae	Agaricales	Agaricomycetes	Basidiomycota	Schizophyllum commune H4-8 v3.0	lamellate	Cyphelloid		ballistospory	0	JGI202304	169
Lycper1	sec-non-ball	Lycoperdon	perlatum	Lycoperdaceae	Agaricales	Agaricomycetes	Basidiomycota	Lycoperdon perlatum FP-102459-T v1.0	gleba	Gasteroid		sec-non-ball	2	JGI202304	170
Crula1	sec-non-ball	Crucibulum	laeve	NA	Agaricales	Agaricomycetes	Basidiomycota	Crucibulum laeve CBS 166.37 v1.0	peridiolum	Gasteroid		sec-non-ball	1	JGI202304	171
Cyastr2	sec-non-ball	Cyathus	striatus	Nidulariaceae	Agaricales	Agaricomycetes	Basidiomycota	Cyathus striatus AH 40144 v1.0	peridiolum	Gasteroid		sec-non-ball	1	JGI202304	172
Fibsp1	ballistospory	Fibulorhizoctonia	psychrophila	Atheliaceae	Atheliales	Agaricomycetes	Basidiomycota	Fibulorhizoctonia psychrophila CBS 109695 v1.0	smooth	Resupinate		ballistospory	0	JGI202304	173
Pisthe227_1	sec-non-ball	Pisolithus	croceorrhizus	Pisolithaceae	Boletales	Agaricomycetes	Basidiomycota	Pisolithus croceorrhizus ssp. 2 72 v1.0	gleba	Gasteroid		sec-non-ball	6	JGI202304	174
Pismar1	sec-non-ball	Pisolithus	marmoratus	Pisolithaceae	Boletales	Agaricomycetes	Basidiomycota	Pisolithus marmoratus ssp. 2 16A v1.0	gleba	Gasteroid		sec-non-ball	6	JGI202304	175
Pismi1	sec-non-ball	Pisolithus	microcarpus	Pisolithaceae	Boletales	Agaricomycetes	Basidiomycota	Pisolithus microcarpus 441 v1.0	gleba	Gasteroid	Mycorrhizal	sec-non-ball	6	PL109	176
Pisti2	sec-non-ball	Pisolithus	tinctorius	Pisolithaceae	Boletales	Agaricomycetes	Basidiomycota	Pisolithus tinctorius Marx 270 v2.0	gleba	Gasteroid		sec-non-ball	6	JGI202304	177
Rhives1	sec-non-ball	Rhizopogon	vesiculosus	Rhizopogonaceae	Boletales	Agaricomycetes	Basidiomycota	Rhizopogon vesiculosus Smith	gleba	Gasteroid		sec-non-ball	7	JGI202304	178
Rhivi1	sec-non-ball	Rhizopogon	vinicolor	Rhizopogonaceae	Boletales	Agaricomycetes	Basidiomycota	Rhizopogon vinicolor AM-OR11-026 v1.0	gleba	Gasteroid		sec-non-ball	7	JGI202304	179
Sclci1	sec-non-ball	Scleroderma	citrinum	Sclerodermataceae	Boletales	Agaricomycetes	Basidiomycota	Scleroderma citrinum Foug A v1.0	gleba	Gasteroid		sec-non-ball	6	JGI202304	180
Geatri1	sec-non-ball	Geastrum	triplex	Geastraceae	Geastrales	Agaricomycetes	Basidiomycota	Geastrum triplex GST.BST v1.0	gleba	Gasteroid		sec-non-ball	8	JGI202304	181
Sclhys1_1	sec-non-ball	Sclerogaster	hysterangioides	Sclerogastraceae	Geastrales	Agaricomycetes	Basidiomycota	Sclerogaster hysterangioides SCL2.BST v1.0	gleba	Gasteroid		sec-non-ball	8	JGI202304	182
Sphst1	sec-non-ball	Sphaerobolus	stellatus	Sphaerobolaceae	Geastrales	Agaricomycetes	Basidiomycota	Sphaerobolus stellatus v1.0	gleba	Gasteroid		sec-non-ball	8	JGI202304	183
Mutel1	sec-non-ball	Mutinus	elegans	Phallaceae	Phallales	Agaricomycetes	Basidiomycota	Mutinus elegans ME.BST v1.0	gleba	Gasteroid		sec-non-ball	8	JGI202304	184
Guyne1	sec-non-ball	Guyanagaster	necrorhiza	Physalacriaceae	Agaricales	Agaricomycetes	Basidiomycota	Guyanagaster necrorhiza MCA 3950 v1.0	gleba	hypogeous		sec-non-ball	4	JGI202304	186
Melbro1	sec-non-ball	Melanogaster	broomeianus	Melanogastraceae	Boletales	Agaricomycetes	Basidiomycota	Melanogaster broomeianus MBLB.BST v1.0	gleba	hypogeous		sec-non-ball	5	JGI202304	187
Gaumor1_1	sec-non-ball	Gautieria	morchelliformis	Gautieriaceae	Gomphales	Agaricomycetes	Basidiomycota	Gautieria morchelliformis GMNE.BST v1.0	gleba	hypogeous		sec-non-ball	9	JGI202304	188
Hyssto1	sec-non-ball	Hysterangium	stoloniferum	Hysterangiaceae	Hysterangiales	Agaricomycetes	Basidiomycota	Hysterangium stoloniferum HS.BST v1.0	gleba	hypogeous		sec-non-ball	8	JGI202304	189
Rhomi1	ballistospory	Cystobasidium	minutum	Cystobasidiaceae	Cystobasidiales	Cystobasidiomycetes	Basidiomycota	Cystobasidium minutum MCA 4210 v1.0	no	Yeasts		prim-non-ball	0	JGI202304	116
Calco1	ballistospory	Calocera	cornea	Dacrymycetaceae	Dacrymycetales	Dacrymycetes	Basidiomycota	Calocera cornea v1.0	smooth	Coralloid_Clavarioid	WoodDF	prim-non-ball	0	PL109	165
Calvi1	ballistospory	Calocera	viscosa	Dacrymycetaceae	Dacrymycetales	Dacrymycetes	Basidiomycota	Calocera viscosa v1.0	smooth	Coralloid_Clavarioid		prim-non-ball	0	JGI202304	166
Dacsp1	ballistospory	Dacryopinax	primogenitus	Dacrymycetaceae	Dacrymycetales	Dacrymycetes	Basidiomycota	Dacryopinax primogenitus DJM 731 SSP1 v1.0	smooth	Coralloid_Clavarioid		prim-non-ball	0	JGI202304	167
Aspfu1	prim-non-ball	Aspergillus	fumigatus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Aspergillus fumigatus Af293 from AspGD	no	woFrb	pathogen	prim-non-ball	0	O443	102
Tilan2	ballistospory	Tilletiaria	anomala	Tilletiariaceae	Georgefischeriales	Exobasidiomycetes	Basidiomycota	Tilletiaria anomala UBC 951 v1.0	no	woFrb	Endophytic	prim-non-ball	0	PL109	106
Tilcar1	ballistospory	Tilletia	caries	Tilletiaceae	Tilletiales	Exobasidiomycetes	Basidiomycota	Tilletia caries DAOM 238032	no	woFrb		prim-non-ball	0	JGI202304	107
Malsy1_1	ballistospory	Malassezia	sympodialis	Malasseziaceae	Malasseziales	Malasseziomycetes	Basidiomycota	Malassezia sympodialis ATCC 42132	no	Yeasts		prim-non-ball	0	JGI202304	117
Leucr1	ballistospory	Leucosporidiella	creatinivora	Leucosporidiaceae	Leucosporidiales	Microbotryomycetes	Basidiomycota	Leucosporidiella creatinivora 62-1032 v1.0	no	Yeasts	Yeasts	prim-non-ball	0	O443	118
Rhoba1_1	ballistospory	Rhodotorula	graminis	Sporidiobolaceae	Sporidiobolales	Microbotryomycetes	Basidiomycota	Rhodotorula graminis strain WP1 v1.1	no	Yeasts		prim-non-ball	0	JGI202304	119
Mixos1	ballistospory	Mixia	osmundae	Mixiaceae	Mixiales	Mixiomycetes	Basidiomycota	Mixia osmundae IAM 14324 v1.0	no	Yeasts		prim-non-ball	0	JGI202304	120
Tubae1	prim-non-ball	Tuber	aestivum	Tuberaceae	Pezizales	Pezizomycetes	Ascomycota	Tuber aestivum var. urcinatum v1.0	gleba	hypogeous	ECM	prim-non-ball	0	O443	185
Melli1	ballistospory	Melampsora	lini	Melampsoraceae	Pucciniales	Pucciniomycetes	Basidiomycota	Melampsora lini CH5	no	woFrb		prim-non-ball	0	JGI202304	108
Phapa1	ballistospory	Phakopsora	pachyrhizi	Phakopsoraceae	Pucciniales	Pucciniomycetes	Basidiomycota	Phakopsora pachyrhizi MT2006 v1.0	no	woFrb		prim-non-ball	0	JGI202304	109
Pucgr2	ballistospory	Puccinia	graminis	Pucciniaceae	Pucciniales	Pucciniomycetes	Basidiomycota	Puccinia graminis f. sp. tritici v2.0	no	woFrb		prim-non-ball	0	JGI202304	110
Sacce1	prim-non-ball	Saccharomyces	cerevisiae	Saccharomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota	Saccharomyces cerevisiae S288C	no	Yeasts	Yeasts	prim-non-ball	0	PL109	114
Schpo1	prim-non-ball	Schizosaccharomyces	pombe	Schizosaccharomycetaceae	Schizosaccharomycetales	Schizosaccharomycetes	Ascomycota	Schizosaccharomyces pombe	no	Yeasts	Yeasts	prim-non-ball	0	PL109	115
Neucr2	prim-non-ball	Neurospora	crassa	Sordariaceae	Sordariales	Sordariomycetes	Ascomycota	Neurospora crassa OR74A v2.0	no	perithecia	Yeasts	prim-non-ball	0	PL109	2
Fusgr1	prim-non-ball	Fusarium	graminearum	Nectriaceae	Hypocreales	Sordariomycetes	Ascomycota	Fusarium graminearum v1.0	no	woFrb	pathogen	prim-non-ball	0	PL109	103
Micbo1	prim-non-ball	Microdochium	bolleyi	Microdochiaceae	Xylariales	Sordariomycetes	Ascomycota	Microdochium bolleyi J235TASD1 v1.0	no	woFrb	Endophytic	prim-non-ball	0	O443	104
Treen1	ballistospory	Naematelia	encephela	Naemateliaceae	Tremellales	Tremellomycetes	Basidiomycota	Naematelia encephela UCDFST 68-887.2 v1.0	smooth	Tremella-like		prim-non-ball	0	JGI202304	101
Cryne_JEC21_1	ballistospory	Cryptococcus	neoformans	Cryptococcaceae	Tremellales	Tremellomycetes	Basidiomycota	Cryptococcus neoformans var neoformans JEC21	no	woFrb		prim-non-ball	0	JGI202304	111
Filflo1	ballistospory	Filobasidium	floriforme	Filobasidiaceae	Filobasidiales	Tremellomycetes	Basidiomycota	Filobasidium floriforme CBS 6241 v1.0	no	Yeasts		prim-non-ball	0	JGI202304	121
Nagvi1	ballistospory	Naganishia	vishniacii	Filobasidiaceae	Filobasidiales	Tremellomycetes	Basidiomycota	Naganishia vishniacii ANT03-052 v1.1	no	Yeasts		prim-non-ball	0	JGI202304	122
Trias8904	ballistospory	Trichosporon	asahii	Trichosporonaceae	Trichosporonales	Tremellomycetes	Basidiomycota	Trichosporon asahii var. asahii CBS 8904	no	Yeasts		prim-non-ball	0	JGI202304	123
Tescy1	ballistospory	Testicularia	cyperi	Anthracoideaceae	Ustilaginales	Ustilaginomycetes	Basidiomycota	Testicularia cyperi MCA 3645 v1.0	no	other		prim-non-ball	0	JGI202304	1
Ustma2_2	ballistospory	Ustilago	maydis	Ustilaginaceae	Ustilaginales	Ustilaginomycetes	Basidiomycota	Ustilago maydis 521 v2.0	no	woFrb		prim-non-ball	0	JGI202304	112
Psehu1	ballistospory	Pseudozyma	hubeiensis	Ustilaginaceae	Ustilaginales	Ustilaginomycetes	Basidiomycota	Pseudozyma hubeiensis SY62	no	Yeasts		prim-non-ball	0	JGI202304	124
Walse1	ballistospory	Wallemia	mellicola	Wallemiaceae	Wallemiales	Wallemiomycetes	Basidiomycota	Wallemia mellicola v1.0	no	woFrb	Saprotroph	prim-non-ball	0	PL109	113
